#{"t_start": 1748537532.914976, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-85.8835,38,18.400345
-63.2005,109,26.604153
-71.4685,486,65.542811
-69.9885,89,72.710601
-67.279,93,80.442037
-72.4985,190,95.845992
-86.4535,38,115.806188
