#{"t_start": 1748534348.1909611, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
13.9225,121,24.298967
11.67175,150,42.673248
13.825625,217,70.489424
11.260625,139,87.541214
12.020625,136,104.015123
